Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Amilcar Gomez,653248,AGS,21,18,RF,6,False,0.762,0.333,0.429,0.333,23.8,9.5,31.6,52.8,38.5,30.8,30.8,0.0,0.462,55.0,89.0,94.0,30.0,67.0,55.0,77.0,80.0,88.0,7.0,96.0,7.0,97.0
Michael Wing,519434,JAL,148,133,2B,59,False,0.762,0.248,0.318,0.444,23.6,8.1,30.9,45.0,31.3,42.4,19.2,50.0,0.283,55.0,37.0,37.0,66.0,66.0,42.0,75.0,33.0,67.0,36.0,63.0,32.0,27.0
Juan Kirk,675202,PUE,141,122,C,48,False,0.761,0.32,0.368,0.393,14.9,5.7,20.8,50.4,28.4,45.0,16.5,50.0,0.369,55.0,84.0,66.0,47.0,27.0,25.0,28.0,67.0,53.0,49.0,41.0,32.0,78.0
Ramon Rios,540204,AGS,323,299,2B,121,True,0.761,0.321,0.356,0.405,5.0,4.0,12.8,51.7,18.6,55.9,17.2,88.9,0.329,55.0,85.0,58.0,52.0,1.0,13.0,4.0,73.0,11.0,84.0,47.0,73.0,55.0
Angel Aguilar,622758,MVA,195,178,3B,80,True,0.758,0.264,0.309,0.449,23.1,4.1,30.4,52.3,31.4,42.3,18.2,66.7,0.31,54.0,50.0,29.0,67.0,64.0,14.0,72.0,76.0,68.0,36.0,55.0,50.0,43.0
Alejandro Ortiz,554428,CAM,266,242,RF,108,True,0.758,0.269,0.312,0.446,21.8,5.6,26.2,56.2,29.8,50.8,13.6,50.0,0.309,54.0,53.0,31.0,66.0,58.0,23.0,53.0,91.0,62.0,72.0,27.0,32.0,41.0
Tomo Otosaka,678465,YUC,290,237,OF,83,True,0.758,0.295,0.408,0.35,15.2,15.9,17.4,39.9,16.5,67.0,13.5,66.7,0.361,54.0,69.0,86.0,36.0,28.0,94.0,14.0,8.0,7.0,96.0,26.0,50.0,74.0
Missael Rivera,668992,SLT,380,328,IF,129,True,0.758,0.287,0.365,0.393,11.1,8.2,21.4,45.0,24.3,43.2,23.3,60.0,0.316,54.0,66.0,65.0,47.0,9.0,43.0,32.0,33.0,30.0,40.0,84.0,43.0,45.0
Emmanuel Avila,500869,LEO,274,251,2B,104,True,0.757,0.295,0.343,0.414,13.1,5.5,16.0,54.4,22.4,47.9,19.6,33.3,0.324,53.0,69.0,52.0,56.0,17.0,22.0,8.0,87.0,24.0,61.0,66.0,20.0,53.0
Samar Leyva,653001,PUE,154,132,2B,57,False,0.757,0.227,0.325,0.432,8.4,10.4,18.2,47.6,31.1,48.4,10.7,62.5,0.205,53.0,27.0,40.0,62.0,4.0,63.0,18.0,50.0,66.0,63.0,15.0,45.0,8.0
Jermaine Palacios,650339,MTY,260,243,SS,102,True,0.757,0.3,0.337,0.42,25.0,4.6,30.6,56.4,26.5,43.6,24.3,75.0,0.394,53.0,73.0,48.0,58.0,71.0,16.0,73.0,92.0,43.0,43.0,87.0,60.0,87.0
Tres Barrera,668663,TIJ,181,159,C,67,False,0.754,0.258,0.333,0.421,14.4,8.8,22.1,45.7,29.4,41.2,16.9,,0.271,53.0,46.0,46.0,59.0,24.0,49.0,34.0,38.0,59.0,30.0,44.0,,24.0
Aderlin Rodríguez,573669,TIJ,183,162,1B,75,False,0.753,0.216,0.29,0.463,23.5,8.2,35.0,54.2,27.0,49.2,12.3,75.0,0.223,52.0,24.0,21.0,71.0,66.0,43.0,85.0,86.0,46.0,66.0,19.0,60.0,12.0
Kristian Delgado,653245,CHI,161,142,3B,57,False,0.751,0.282,0.35,0.401,17.4,7.5,24.0,44.7,27.1,45.8,19.5,0.0,0.333,52.0,62.0,54.0,50.0,40.0,38.0,45.0,29.0,47.0,51.0,65.0,7.0,59.0
Johneshwy Fargas,641561,SLT,299,273,CF,115,True,0.751,0.282,0.33,0.421,17.7,4.3,26.9,54.3,21.2,45.1,22.6,65.2,0.333,52.0,62.0,43.0,59.0,41.0,15.0,57.0,87.0,19.0,50.0,83.0,47.0,59.0
Odúbel Herrera,546318,MVA,223,198,CF,81,True,0.751,0.263,0.342,0.409,16.6,9.9,27.0,48.4,19.8,54.9,16.0,80.0,0.301,52.0,50.0,51.0,54.0,34.0,58.0,58.0,54.0,16.0,81.0,37.0,65.0,37.0
Juniel Querecuto,578570,OAX,220,198,3B,86,True,0.75,0.268,0.316,0.434,20.9,5.5,27.0,52.7,35.2,44.7,15.7,80.0,0.318,51.0,52.0,35.0,62.0,53.0,22.0,58.0,79.0,82.0,47.0,36.0,65.0,47.0
Edwin Díaz,641521,SLT,236,199,SS,82,True,0.748,0.246,0.336,0.412,27.1,11.0,35.1,49.0,34.5,31.0,26.1,75.0,0.313,51.0,35.0,47.0,55.0,76.0,68.0,86.0,59.0,80.0,7.0,92.0,60.0,44.0
Alberth Martinez,594021,LEO,334,295,LF,120,True,0.748,0.264,0.341,0.407,20.7,9.3,25.5,44.0,26.2,46.7,17.9,66.7,0.32,51.0,50.0,51.0,53.0,52.0,53.0,51.0,26.0,42.0,56.0,53.0,50.0,50.0
José Peraza,606299,YUC,343,315,2B,127,True,0.748,0.302,0.345,0.403,7.9,5.8,12.1,48.8,26.3,43.0,19.8,50.0,0.309,51.0,75.0,53.0,51.0,3.0,25.0,3.0,57.0,43.0,39.0,67.0,32.0,41.0
Edgar Robles,677977,LAG,100,79,OF,28,False,0.748,0.266,0.394,0.354,16.0,13.0,16.8,37.3,25.8,53.0,12.1,28.6,0.323,51.0,51.0,81.0,37.0,31.0,83.0,12.0,2.0,39.0,77.0,19.0,18.0,52.0
Rio Ruiz,547004,QRO,329,286,2B,112,True,0.748,0.273,0.356,0.392,17.0,11.9,28.5,47.7,28.2,43.2,21.8,100.0,0.319,51.0,56.0,58.0,47.0,37.0,77.0,66.0,50.0,53.0,40.0,79.0,88.0,49.0
