Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Jafet Ojeda,827111,YUC,6,5,2B,4,False,1.467,0.6,0.667,0.8,33.3,16.7,40.0,50.0,0.0,33.3,66.7,,1.0,100.0,100.0,100.0,99.0,88.0,95.0,93.0,64.0,1.0,11.0,100.0,,100.0
Jerar Encarnacion,666464,OAX,107,93,RF,92,False,1.428,0.366,0.439,0.989,24.3,12.1,32.6,44.5,47.1,38.2,13.2,100.0,0.306,100.0,97.0,97.0,100.0,69.0,78.0,80.0,29.0,96.0,20.0,23.0,88.0,40.0
Rogelio Cobos,701812,PUE,6,4,OF,4,False,1.4,0.25,0.4,1.0,50.0,16.7,63.6,47.8,0.0,50.0,50.0,33.3,,100.0,39.0,84.0,100.0,98.0,95.0,100.0,51.0,1.0,68.0,99.0,20.0,
Beder Gutierrez,664583,QRO,41,35,OF,31,False,1.349,0.371,0.463,0.886,17.1,14.6,22.2,45.3,17.9,50.0,25.0,,0.375,99.0,98.0,99.0,100.0,38.0,91.0,35.0,34.0,9.0,68.0,90.0,,80.0
Sandber Pimentel,622698,LEO,30,22,OF,15,False,1.282,0.455,0.6,0.682,13.3,23.3,32.7,40.2,11.1,72.2,11.1,100.0,0.529,99.0,100.0,100.0,98.0,18.0,99.0,80.0,9.0,4.0,97.0,17.0,88.0,99.0
Art Charles,543021,YUC,335,252,1B,187,True,1.199,0.294,0.457,0.742,28.4,22.7,38.6,39.1,41.0,31.7,18.6,,0.32,99.0,68.0,99.0,99.0,79.0,99.0,91.0,5.0,93.0,8.0,58.0,,50.0
Ramón Cabrera,541608,YUC,11,10,C,7,False,1.155,0.4,0.455,0.7,18.2,9.1,18.2,46.8,25.0,37.5,37.5,,0.429,99.0,99.0,98.0,99.0,43.0,52.0,18.0,46.0,33.0,18.0,98.0,,95.0
Moisés Castillo,665940,AGS,25,22,SS,15,False,1.122,0.364,0.44,0.682,24.0,12.0,23.7,38.8,62.5,0.0,31.2,100.0,0.429,98.0,97.0,97.0,98.0,68.0,77.0,43.0,4.0,99.0,1.0,97.0,88.0,95.0
Robinson Canó,429664,MEX,360,327,2B,209,True,1.114,0.431,0.475,0.639,11.4,7.2,16.8,52.6,19.7,49.8,25.6,,0.462,98.0,100.0,99.0,97.0,10.0,36.0,12.0,78.0,15.0,67.0,92.0,,97.0
Yurisbel Gracial,666968,QRO,387,348,IF,233,True,1.107,0.382,0.437,0.67,18.3,9.0,26.7,44.4,30.7,42.1,19.6,100.0,0.426,98.0,99.0,96.0,98.0,44.0,51.0,56.0,28.0,65.0,34.0,66.0,88.0,94.0
Lewin Díaz,650331,MEX,314,269,1B,174,True,1.099,0.375,0.452,0.647,17.2,12.7,21.3,45.7,38.4,32.9,21.0,100.0,0.41,98.0,98.0,98.0,98.0,39.0,81.0,31.0,38.0,88.0,10.0,75.0,88.0,93.0
Vimael Machín,605353,JAL,363,304,3B,176,True,1.073,0.401,0.494,0.579,10.2,15.4,18.2,42.8,31.2,48.0,16.7,52.6,0.441,97.0,99.0,100.0,94.0,7.0,93.0,18.0,19.0,67.0,62.0,42.0,39.0,96.0
Carlos Munoz,608608,AGS,38,31,1B,20,False,1.066,0.323,0.421,0.645,13.2,13.2,21.3,44.9,29.6,37.0,22.2,0.0,0.292,97.0,86.0,91.0,98.0,17.0,84.0,31.0,31.0,60.0,17.0,81.0,7.0,32.0
Leonys Martin,547982,QRO,366,308,CF,194,True,1.04,0.305,0.41,0.63,25.4,12.8,33.6,46.6,41.9,31.8,17.5,100.0,0.346,97.0,77.0,88.0,97.0,72.0,82.0,83.0,44.0,94.0,8.0,49.0,88.0,66.0
José Marmolejos,592530,MEX,322,261,1B,146,True,1.029,0.364,0.47,0.559,14.0,17.1,17.9,40.5,28.1,38.0,26.7,60.0,0.405,97.0,97.0,99.0,92.0,22.0,97.0,16.0,10.0,52.0,20.0,93.0,43.0,92.0
Yasiel Puig,624577,VER,261,223,RF,136,True,1.02,0.314,0.41,0.61,16.9,9.6,24.9,48.1,33.3,38.3,17.2,25.0,0.321,96.0,82.0,88.0,97.0,37.0,55.0,49.0,52.0,76.0,21.0,47.0,16.0,51.0
Franklin Barreto,620439,MEX,372,321,SS,185,True,1.006,0.343,0.43,0.576,26.6,12.1,30.9,42.0,21.4,50.9,22.3,80.0,0.456,96.0,92.0,95.0,93.0,75.0,78.0,75.0,15.0,20.0,72.0,81.0,65.0,96.0
Jose Vargas,543874,QRO,5,5,1B,3,False,1.0,0.4,0.4,0.6,40.0,0.0,46.2,76.5,0.0,33.3,66.7,,0.667,96.0,99.0,84.0,96.0,93.0,3.0,98.0,100.0,1.0,11.0,100.0,,100.0
Angel Reyes,622580,AGS,371,327,OF,192,True,0.999,0.346,0.412,0.587,17.0,10.5,26.8,48.9,26.1,45.1,24.3,59.1,0.378,96.0,93.0,89.0,95.0,37.0,64.0,56.0,58.0,42.0,50.0,87.0,42.0,81.0
Felix Perez,591977,TAB,136,121,RF,68,False,0.996,0.372,0.434,0.562,12.5,8.1,20.8,50.0,35.2,33.3,23.8,100.0,0.394,95.0,98.0,96.0,92.0,14.0,42.0,28.0,64.0,82.0,11.0,85.0,88.0,87.0
Danny Ortiz,543611,PUE,368,311,OF,188,True,0.985,0.283,0.38,0.605,20.7,13.9,27.7,48.9,39.2,28.3,16.7,0.0,0.283,95.0,63.0,73.0,96.0,52.0,89.0,60.0,58.0,89.0,6.0,42.0,7.0,27.0
Roberto Ramos,657733,OAX,238,201,1B,117,True,0.985,0.299,0.403,0.582,23.9,14.3,31.8,43.4,32.4,35.2,19.3,0.0,0.346,95.0,72.0,85.0,95.0,67.0,90.0,77.0,23.0,71.0,14.0,64.0,7.0,66.0
Brayan Mendoza,696535,MTY,45,39,OF,22,False,0.983,0.359,0.419,0.564,17.8,8.9,23.2,59.6,18.2,54.5,24.2,,0.433,95.0,96.0,91.0,93.0,42.0,50.0,40.0,95.0,10.0,81.0,87.0,,95.0
Alexi Amarista,506560,OAX,401,368,SS,213,True,0.981,0.361,0.402,0.579,10.2,5.7,16.3,49.2,36.2,42.8,16.8,25.0,0.376,94.0,96.0,84.0,94.0,7.0,25.0,10.0,60.0,86.0,37.0,44.0,16.0,80.0
Greg Bird,595885,JAL,306,262,1B,152,True,0.979,0.317,0.399,0.58,12.7,10.1,23.0,49.4,34.2,38.6,21.5,0.0,0.31,94.0,83.0,83.0,94.0,14.0,60.0,38.0,61.0,79.0,22.0,77.0,7.0,43.0
Keven Lamas,685694,SLT,314,274,IF,151,True,0.977,0.354,0.426,0.551,15.0,8.6,26.8,46.2,21.2,45.9,25.5,37.5,0.394,94.0,95.0,93.0,90.0,27.0,47.0,56.0,42.0,19.0,51.0,92.0,22.0,87.0
Zoilo Almonte,501660,MTY,336,307,LF,184,True,0.974,0.326,0.375,0.599,19.9,7.1,27.8,49.8,29.2,43.6,21.4,0.0,0.353,94.0,87.0,70.0,95.0,50.0,35.0,61.0,63.0,57.0,43.0,76.0,7.0,70.0
Nicholas Torres,657051,LAG,373,320,OF,176,True,0.974,0.341,0.424,0.55,22.8,11.5,30.9,46.8,33.1,43.5,20.5,66.7,0.42,94.0,91.0,92.0,90.0,63.0,73.0,75.0,46.0,74.0,42.0,73.0,50.0,94.0
Rusney Castillo,628329,QRO,75,74,OF,45,False,0.968,0.351,0.36,0.608,10.7,1.3,16.4,59.8,18.2,39.4,34.8,50.0,0.365,93.0,94.0,61.0,96.0,8.0,7.0,10.0,95.0,10.0,25.0,98.0,32.0,76.0
Aldrem Corredor,625506,MVA,379,329,1B,177,True,0.963,0.343,0.425,0.538,14.2,12.7,15.9,37.6,25.3,49.1,20.2,100.0,0.376,93.0,92.0,93.0,89.0,23.0,81.0,8.0,3.0,36.0,65.0,72.0,88.0,80.0
Anthony García,571685,AGS,300,256,OF,142,True,0.953,0.309,0.398,0.555,19.7,11.3,27.1,46.3,38.3,37.3,18.4,75.0,0.346,93.0,79.0,83.0,91.0,49.0,71.0,58.0,43.0,87.0,18.0,57.0,60.0,66.0
Ramon Hernandez,650346,MVA,364,329,IF,188,True,0.945,0.313,0.374,0.571,19.8,6.9,22.9,46.2,30.9,36.7,22.0,66.7,0.342,92.0,81.0,69.0,93.0,50.0,34.0,38.0,42.0,66.0,17.0,80.0,50.0,65.0
Blake Rutherford,666164,TIJ,85,74,LF,45,False,0.945,0.257,0.337,0.608,17.6,7.1,36.4,59.4,29.5,54.1,11.5,,0.231,92.0,45.0,48.0,96.0,41.0,35.0,87.0,95.0,60.0,79.0,18.0,,13.0
Luke Voit,572228,TAB,339,278,1B,154,True,0.945,0.27,0.391,0.554,22.4,15.3,34.0,48.6,40.8,38.3,14.1,100.0,0.286,92.0,53.0,80.0,91.0,61.0,92.0,84.0,56.0,93.0,21.0,28.0,88.0,29.0
Aaron Altherr,571437,LAG,187,147,CF,78,False,0.943,0.259,0.412,0.531,31.0,17.1,38.5,40.8,34.4,36.7,17.8,100.0,0.358,92.0,46.0,89.0,88.0,84.0,97.0,90.0,11.0,80.0,17.0,52.0,88.0,72.0
Balbino Fuenmayor,515768,MVA,262,240,1B,137,True,0.941,0.346,0.37,0.571,22.1,3.8,33.9,64.0,35.3,38.9,18.9,,0.395,91.0,93.0,67.0,93.0,59.0,12.0,83.0,98.0,83.0,23.0,61.0,,88.0
Kyle Martin,657674,OAX,322,273,1B,151,True,0.941,0.278,0.388,0.553,21.7,13.0,30.1,46.7,47.3,24.1,19.7,100.0,0.302,91.0,59.0,77.0,91.0,57.0,83.0,71.0,45.0,96.0,3.0,67.0,88.0,38.0
Danry Vasquez,606281,LAR,374,330,RF,175,True,0.94,0.339,0.41,0.53,15.2,10.2,16.4,46.1,29.0,47.1,19.9,70.0,0.394,91.0,91.0,88.0,88.0,28.0,61.0,10.0,41.0,56.0,58.0,68.0,55.0,87.0
Tito Polo,622738,VER,145,126,OF,66,False,0.939,0.349,0.415,0.524,22.1,5.5,31.8,52.3,23.5,45.9,24.5,58.3,0.446,91.0,94.0,90.0,87.0,59.0,22.0,77.0,76.0,28.0,51.0,88.0,41.0,96.0
Lazaro Alonso,672906,DUR,200,167,1B,88,True,0.937,0.299,0.41,0.527,26.5,13.5,31.2,44.8,29.6,49.6,19.1,,0.393,90.0,72.0,88.0,87.0,75.0,87.0,76.0,30.0,60.0,66.0,63.0,,86.0
Oswaldo Arcia,542455,SLT,332,265,LF,138,True,0.937,0.287,0.416,0.521,20.8,15.7,31.6,42.1,41.3,30.8,16.9,66.7,0.332,90.0,66.0,90.0,86.0,53.0,93.0,77.0,15.0,93.0,7.0,44.0,50.0,56.0
Wilfredo Tovar,541600,AGS,395,350,SS,174,True,0.937,0.371,0.44,0.497,7.1,9.9,12.8,40.8,23.1,45.7,25.3,44.4,0.39,90.0,98.0,97.0,82.0,2.0,58.0,4.0,11.0,27.0,50.0,91.0,25.0,85.0
Chris Carter,474892,PUE,303,242,1B,130,True,0.936,0.26,0.399,0.537,33.3,18.8,39.1,43.3,41.7,29.9,20.1,,0.362,90.0,47.0,83.0,89.0,88.0,98.0,92.0,23.0,93.0,6.0,71.0,,74.0
Juan Camacho,660518,JAL,26,24,C,15,False,0.933,0.25,0.308,0.625,19.2,7.7,36.4,53.0,42.1,47.4,5.3,,0.188,90.0,39.0,28.0,97.0,47.0,40.0,87.0,80.0,95.0,59.0,8.0,,5.0
Kennys Vargas,573627,LAR,382,323,IF,167,True,0.933,0.316,0.416,0.517,25.1,13.4,30.6,45.0,29.7,46.3,17.0,,0.407,90.0,82.0,90.0,86.0,71.0,86.0,73.0,33.0,61.0,53.0,45.0,,92.0
Yosmany Guerra,626843,QRO,288,241,SS,116,True,0.932,0.349,0.451,0.481,9.7,14.6,14.6,39.5,29.4,43.5,24.8,50.0,0.383,89.0,94.0,98.0,78.0,5.0,91.0,6.0,7.0,59.0,42.0,89.0,32.0,82.0
Moises Gutierrez,605011,MEX,179,155,2B,86,False,0.932,0.31,0.377,0.555,29.6,9.5,30.9,51.3,30.6,36.1,28.7,33.3,0.417,89.0,79.0,71.0,91.0,83.0,55.0,75.0,71.0,65.0,16.0,95.0,20.0,93.0
Carlos Castro,622603,TIG,173,163,C,96,False,0.93,0.301,0.341,0.589,24.3,4.6,29.8,52.0,27.3,46.3,19.0,100.0,0.333,89.0,74.0,51.0,95.0,69.0,16.0,70.0,75.0,48.0,53.0,61.0,88.0,59.0
Julian Ornelas,676140,MEX,343,306,OF,168,True,0.928,0.32,0.379,0.549,15.5,8.7,20.9,47.7,27.9,41.5,22.5,53.8,0.339,88.0,84.0,72.0,90.0,30.0,48.0,29.0,50.0,50.0,32.0,82.0,40.0,62.0
Alen Hanson,593700,QRO,359,328,2B,181,True,0.927,0.335,0.375,0.552,14.5,5.6,22.9,50.3,32.0,41.5,17.3,61.5,0.356,88.0,90.0,70.0,90.0,24.0,23.0,38.0,67.0,70.0,32.0,48.0,44.0,72.0
Seuly Matias,665890,CHI,79,67,OF,35,False,0.927,0.313,0.405,0.522,25.3,8.9,38.8,49.8,18.8,50.0,31.2,0.0,0.4,88.0,81.0,85.0,87.0,72.0,50.0,91.0,63.0,11.0,68.0,97.0,7.0,90.0
Peter O'Brien,598284,PUE,302,263,OF,147,True,0.927,0.285,0.368,0.559,33.4,9.3,41.4,54.1,29.7,37.6,28.5,100.0,0.396,88.0,64.0,66.0,92.0,89.0,53.0,95.0,85.0,61.0,19.0,95.0,88.0,88.0
Andretty Cordero,650957,AGS,402,363,IF,195,True,0.926,0.342,0.389,0.537,12.9,7.2,26.4,51.9,26.0,46.7,20.4,66.7,0.365,87.0,92.0,78.0,89.0,16.0,36.0,54.0,74.0,41.0,56.0,73.0,50.0,76.0
José Martínez,500874,YUC,47,40,RF,20,False,0.926,0.35,0.426,0.5,12.8,10.6,19.2,40.8,25.7,42.9,22.9,,0.382,87.0,94.0,93.0,83.0,15.0,65.0,22.0,11.0,37.0,38.0,83.0,,82.0
Henry Urrutia,625329,LEO,326,288,OF,144,True,0.926,0.358,0.426,0.5,14.7,10.4,23.9,50.6,26.4,41.3,29.3,66.7,0.409,87.0,96.0,93.0,83.0,26.0,63.0,44.0,69.0,43.0,31.0,95.0,50.0,93.0
Daniel Palka,594953,LAG,164,141,1B,78,False,0.925,0.298,0.372,0.553,21.3,11.6,28.1,46.1,28.2,43.6,20.0,,0.32,87.0,71.0,68.0,91.0,55.0,74.0,63.0,41.0,53.0,43.0,69.0,,50.0
Victor Mendoza,628013,MTY,314,268,1B,140,True,0.92,0.31,0.398,0.522,17.2,13.4,21.0,42.6,29.8,45.0,17.9,100.0,0.345,86.0,79.0,83.0,87.0,39.0,86.0,30.0,18.0,62.0,49.0,53.0,88.0,66.0
Renato Núñez,600524,OAX,54,49,1B,26,False,0.92,0.327,0.389,0.531,14.8,7.4,20.4,50.8,26.8,46.3,17.1,100.0,0.342,86.0,87.0,78.0,88.0,26.0,37.0,26.0,70.0,45.0,53.0,46.0,88.0,65.0
Abraham Almonte,501659,TAB,366,288,OF,142,True,0.918,0.274,0.425,0.493,16.7,20.2,21.3,39.5,29.3,38.0,18.3,100.0,0.3,86.0,57.0,93.0,81.0,35.0,98.0,31.0,7.0,58.0,20.0,57.0,88.0,36.0
Taylor Motter,600301,YUC,165,152,2B,86,False,0.918,0.303,0.352,0.566,24.2,7.3,23.8,42.3,35.4,27.4,24.8,100.0,0.343,86.0,77.0,56.0,93.0,68.0,37.0,43.0,16.0,83.0,5.0,89.0,88.0,65.0
Dwight Smith Jr.,596105,JAL,321,265,LF,133,True,0.915,0.302,0.413,0.502,19.6,15.9,28.1,39.4,32.5,43.7,19.4,62.5,0.356,86.0,75.0,89.0,84.0,48.0,94.0,63.0,6.0,72.0,44.0,64.0,45.0,72.0
Anthony Giansanti,572868,TIJ,257,220,LF,116,True,0.912,0.282,0.385,0.527,18.7,13.2,28.2,42.6,34.3,39.5,15.1,75.0,0.317,85.0,62.0,76.0,87.0,46.0,84.0,63.0,18.0,79.0,26.0,33.0,60.0,46.0
Pedro Castellano,681482,OAX,109,94,IF,49,False,0.91,0.298,0.389,0.521,29.4,11.0,32.1,51.6,41.3,44.4,12.7,100.0,0.414,85.0,71.0,78.0,86.0,82.0,68.0,78.0,73.0,93.0,46.0,20.0,88.0,93.0
Fernando Villegas,679589,SLT,368,317,OF,159,True,0.908,0.328,0.406,0.502,14.4,9.5,28.5,49.8,25.9,44.4,23.0,50.0,0.358,85.0,88.0,86.0,84.0,24.0,55.0,66.0,63.0,40.0,46.0,84.0,32.0,72.0
Juan Carlos Gamboa,585251,MEX,304,256,SS,124,True,0.907,0.324,0.423,0.484,19.1,13.2,21.2,42.5,21.3,44.1,24.3,83.3,0.398,85.0,86.0,92.0,78.0,47.0,84.0,31.0,17.0,20.0,46.0,87.0,69.0,89.0
Kelvin Gutiérrez,642721,QRO,370,321,3B,159,True,0.903,0.333,0.408,0.495,14.6,10.0,21.9,43.0,19.1,58.5,20.6,46.2,0.368,84.0,89.0,86.0,82.0,25.0,59.0,34.0,21.0,12.0,88.0,74.0,26.0,77.0
Raudy Read,600466,PUE,264,248,1B,143,True,0.903,0.29,0.326,0.577,18.6,3.8,28.7,52.4,30.8,42.3,18.9,,0.299,84.0,66.0,41.0,94.0,45.0,12.0,67.0,77.0,65.0,36.0,61.0,,35.0
Sergio Perez,547375,AGS,57,52,CF,25,False,0.902,0.365,0.421,0.481,21.1,7.0,32.2,55.4,22.5,52.5,22.5,,0.462,84.0,97.0,91.0,78.0,54.0,34.0,79.0,89.0,25.0,76.0,82.0,,97.0
Manuel Boscan,598724,DUR,387,336,2B,165,True,0.9,0.327,0.409,0.491,11.9,9.8,19.5,46.7,33.1,41.6,18.1,64.3,0.355,83.0,87.0,87.0,80.0,12.0,57.0,24.0,45.0,74.0,32.0,54.0,46.0,71.0
Sam Travis,607752,DUR,385,334,1B,157,True,0.9,0.35,0.43,0.47,11.7,10.9,17.7,45.8,25.7,44.9,22.3,44.4,0.394,83.0,94.0,95.0,74.0,11.0,67.0,15.0,39.0,37.0,48.0,81.0,25.0,87.0
Yadir Drake,660436,YUC,289,260,OF,139,True,0.898,0.312,0.363,0.535,9.3,6.9,17.3,51.2,27.1,44.6,18.3,50.0,0.303,83.0,80.0,63.0,89.0,5.0,34.0,14.0,71.0,47.0,47.0,57.0,32.0,38.0
José Pirela,517369,MEX,87,75,LF,36,False,0.894,0.333,0.414,0.48,16.1,6.9,27.5,45.8,25.8,58.1,11.3,100.0,0.383,83.0,89.0,90.0,77.0,32.0,34.0,60.0,39.0,39.0,87.0,17.0,88.0,82.0
Diosbel Arias,677690,MEX,196,174,1B,86,True,0.891,0.328,0.397,0.494,19.9,10.2,23.4,41.9,21.9,46.7,29.9,100.0,0.4,83.0,88.0,82.0,81.0,50.0,61.0,41.0,14.0,22.0,56.0,96.0,88.0,90.0
Nomar Mazara,608577,MTY,313,270,OF,134,True,0.886,0.307,0.39,0.496,16.9,10.9,24.7,46.4,29.9,43.9,19.9,100.0,0.349,82.0,78.0,79.0,82.0,37.0,67.0,48.0,43.0,63.0,45.0,68.0,88.0,68.0
Christopher Escarrega,692473,MTY,48,45,C,22,False,0.885,0.356,0.396,0.489,25.0,6.3,26.0,57.1,21.2,39.4,21.2,,0.485,82.0,95.0,82.0,80.0,71.0,29.0,52.0,93.0,19.0,25.0,75.0,,98.0
James Nelson,663445,DUR,355,290,3B,133,True,0.884,0.297,0.425,0.459,18.0,16.9,24.4,43.0,32.3,42.9,20.4,68.8,0.355,82.0,70.0,93.0,70.0,42.0,96.0,46.0,21.0,71.0,38.0,73.0,54.0,71.0
Roel Santos,661270,TAB,248,214,OF,101,True,0.884,0.336,0.412,0.472,13.3,10.5,16.1,40.2,28.0,47.3,17.7,64.7,0.383,82.0,90.0,89.0,75.0,18.0,64.0,9.0,9.0,51.0,58.0,51.0,46.0,82.0
Daniel Cornejo,674496,AGS,165,150,OF,74,False,0.883,0.353,0.39,0.493,21.8,6.1,23.6,46.8,28.8,41.5,25.4,66.7,0.443,81.0,95.0,79.0,81.0,58.0,28.0,42.0,46.0,55.0,32.0,91.0,50.0,96.0
Aristides Aquino,606157,MEX,259,220,RF,108,True,0.881,0.295,0.39,0.491,23.2,13.1,32.1,50.6,27.0,39.9,23.9,83.3,0.364,81.0,69.0,79.0,80.0,64.0,83.0,78.0,69.0,46.0,26.0,86.0,69.0,75.0
Julian Escobedo,686659,LAG,191,159,CF,80,False,0.881,0.277,0.378,0.503,18.3,12.6,20.1,43.5,35.7,43.4,13.2,66.7,0.322,81.0,58.0,72.0,84.0,44.0,81.0,25.0,24.0,84.0,42.0,23.0,50.0,51.0
Rangel Ravelo,592660,LAR,92,74,1B,37,False,0.88,0.257,0.38,0.5,14.1,12.0,18.9,43.2,34.9,50.8,11.1,,0.241,81.0,45.0,73.0,83.0,22.0,77.0,21.0,22.0,81.0,72.0,17.0,,15.0
Carlos Franco,554238,VER,308,253,1B,123,True,0.879,0.273,0.393,0.486,20.8,16.9,27.3,43.7,39.1,46.9,10.9,100.0,0.317,80.0,56.0,81.0,79.0,53.0,96.0,59.0,25.0,89.0,57.0,16.0,88.0,46.0
Ramón Flores,570717,MEX,191,161,OF,73,True,0.877,0.323,0.424,0.453,16.2,14.7,18.4,37.9,22.9,46.6,19.1,66.7,0.392,80.0,86.0,92.0,68.0,33.0,91.0,19.0,3.0,26.0,55.0,63.0,50.0,86.0
Juan Centeno,518542,SLT,147,121,C,53,False,0.876,0.347,0.438,0.438,16.3,11.6,24.3,44.3,25.7,41.6,26.7,,0.418,80.0,93.0,97.0,64.0,33.0,74.0,46.0,28.0,37.0,32.0,93.0,,93.0
Donny Sands,664848,TIJ,138,120,C,59,False,0.876,0.292,0.384,0.492,24.6,13.0,27.9,42.7,32.6,36.0,26.7,50.0,0.354,80.0,68.0,75.0,81.0,70.0,83.0,61.0,18.0,72.0,16.0,93.0,32.0,70.0
Jimmy Kerrigan,677965,LEO,401,359,OF,187,True,0.875,0.295,0.354,0.521,24.4,6.7,30.4,54.9,29.9,38.1,22.4,83.3,0.361,80.0,69.0,57.0,86.0,70.0,32.0,72.0,88.0,63.0,20.0,82.0,69.0,74.0
Bobby Bradley,656252,TIJ,340,273,1B,126,True,0.874,0.271,0.412,0.462,24.1,16.5,29.9,37.9,24.5,48.4,21.9,50.0,0.341,79.0,54.0,89.0,70.0,68.0,95.0,70.0,3.0,30.0,63.0,79.0,32.0,64.0
Phillip Evans,595943,TIJ,79,68,3B,31,False,0.874,0.324,0.418,0.456,12.7,11.4,20.8,42.6,25.9,32.8,31.0,,0.345,79.0,86.0,91.0,69.0,14.0,72.0,28.0,18.0,40.0,9.0,96.0,,66.0
Carlos Sepulveda,661148,MEX,184,153,2B,66,False,0.873,0.34,0.442,0.431,10.9,13.6,10.2,38.3,18.4,52.9,24.3,85.7,0.386,79.0,91.0,98.0,61.0,9.0,88.0,1.0,4.0,11.0,76.0,87.0,71.0,84.0
Arturo Rodriguez,585133,SLT,61,51,C,26,False,0.872,0.333,0.362,0.51,16.4,6.6,27.8,50.2,40.4,31.9,19.1,,0.372,79.0,89.0,63.0,85.0,34.0,31.0,61.0,66.0,92.0,8.0,63.0,,79.0
Yariel Gonzalez,670582,OAX,265,244,2B,125,True,0.87,0.311,0.358,0.512,15.5,7.2,21.7,53.6,31.2,38.5,20.0,0.0,0.335,78.0,80.0,60.0,85.0,30.0,36.0,33.0,83.0,67.0,22.0,69.0,7.0,61.0
Yadiel Hernandez,628450,LAR,399,340,LF,163,True,0.87,0.3,0.391,0.479,19.5,13.5,25.5,42.9,34.8,46.4,14.6,100.0,0.348,78.0,73.0,80.0,77.0,48.0,87.0,51.0,20.0,81.0,54.0,31.0,88.0,68.0
Leobaldo Cabrera,660659,AGS,315,269,OF,131,True,0.867,0.29,0.38,0.487,21.9,12.4,28.7,42.0,24.9,42.9,21.5,78.6,0.342,78.0,66.0,73.0,79.0,58.0,79.0,67.0,15.0,32.0,38.0,77.0,64.0,65.0
Anthony Alford,546990,CAM,150,133,OF,68,False,0.864,0.271,0.353,0.511,34.7,10.7,38.1,53.6,45.7,25.9,19.8,100.0,0.384,78.0,54.0,57.0,85.0,90.0,65.0,89.0,83.0,96.0,4.0,67.0,88.0,83.0
Yorman Rodriguez,660857,LEO,157,138,C,66,False,0.861,0.319,0.383,0.478,10.8,8.3,21.1,48.7,24.8,52.8,16.0,100.0,0.333,77.0,83.0,74.0,77.0,8.0,44.0,30.0,56.0,31.0,76.0,37.0,88.0,59.0
David Rodríguez,630034,TIG,287,247,C,115,True,0.854,0.296,0.388,0.466,24.4,12.2,27.0,42.7,17.9,56.4,20.1,66.7,0.379,77.0,70.0,77.0,71.0,70.0,79.0,58.0,18.0,9.0,85.0,71.0,50.0,81.0
Carlos Soto,666728,MTY,177,145,C,63,False,0.852,0.303,0.418,0.434,21.5,15.8,24.6,44.5,25.7,45.0,22.0,0.0,0.381,77.0,77.0,91.0,62.0,56.0,93.0,47.0,29.0,37.0,49.0,80.0,7.0,82.0
Addison Russell,608365,MVA,363,314,2B,140,True,0.851,0.318,0.405,0.446,14.9,12.4,21.7,45.1,25.2,46.2,18.7,85.7,0.365,77.0,83.0,85.0,66.0,27.0,79.0,33.0,34.0,36.0,52.0,59.0,71.0,76.0
Cristian Santana,655996,CHI,179,168,3B,81,False,0.851,0.333,0.369,0.482,18.4,4.5,26.2,48.9,25.7,52.2,19.1,50.0,0.389,77.0,89.0,67.0,78.0,44.0,16.0,53.0,58.0,37.0,75.0,63.0,32.0,85.0
Cristhian Adames,542436,PUE,368,312,SS,138,True,0.848,0.301,0.406,0.442,13.3,14.4,20.9,42.8,26.1,53.0,17.0,86.7,0.34,76.0,74.0,86.0,65.0,18.0,90.0,29.0,19.0,42.0,77.0,45.0,72.0,63.0
Sebastián Elizalde,590271,MTY,374,329,OF,152,True,0.848,0.316,0.386,0.462,9.6,10.4,16.0,42.9,27.9,40.3,20.1,82.4,0.332,76.0,82.0,76.0,70.0,5.0,63.0,8.0,20.0,50.0,28.0,71.0,67.0,56.0
Sebastian Valle,516679,SLT,134,120,C,64,False,0.848,0.258,0.315,0.533,33.6,6.0,39.3,53.2,31.6,41.8,15.2,,0.333,76.0,46.0,33.0,88.0,90.0,27.0,92.0,81.0,69.0,33.0,34.0,,59.0
Luis Juarez,550492,YUC,251,224,C,110,True,0.846,0.286,0.355,0.491,16.7,9.2,21.6,49.2,33.2,39.1,18.5,,0.31,75.0,65.0,58.0,80.0,35.0,53.0,33.0,60.0,74.0,24.0,58.0,,43.0
Alejandro Mejia,606143,SLT,354,318,3B,160,True,0.845,0.28,0.342,0.503,27.7,8.5,34.9,51.6,21.9,50.0,18.3,40.0,0.341,75.0,60.0,51.0,84.0,78.0,46.0,85.0,73.0,22.0,68.0,57.0,23.0,64.0
Ramiro Pena,455369,MTY,324,278,2B,131,True,0.844,0.302,0.373,0.471,11.4,8.3,17.6,45.7,27.1,44.7,20.4,80.0,0.328,75.0,75.0,69.0,74.0,10.0,44.0,15.0,38.0,47.0,47.0,73.0,65.0,54.0
Yeison Asencio,593772,SLT,74,71,RF,33,False,0.843,0.352,0.378,0.465,12.2,4.1,25.2,57.5,21.0,53.2,19.4,,0.393,75.0,95.0,72.0,71.0,13.0,14.0,50.0,94.0,19.0,77.0,64.0,,86.0
